Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,PQ_student_encoded,PQ_student_named,Previous qualification /10,Nacionality,Mother's qualification,MQ_encoded,MQ_encoded,MQ_named,Father's qualification,FQ_encoded,FQ_named,Mother's occupation,MO_encoded,MO_named,1000,Father's occupation,FO_encoded,FO_named,Salaire_père,Revenu_foyer,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),"CU 1st sem (grade, number)",Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),"CU 2nd sem (grade, number)",Curricular units 2nd sem (without evaluations),Year,Unemployment rate,Inflation rate,GDP,Target
1,17,2,9500,1.00,1,3,Lycée terminé,"13,5",1,19,3,3,Lycée,1,3,Lycée,5,5,Employés,1350,4,5,Employés,1200,2550,"12,73",1,0,0,1,0,0,18,0,0,7,8,7,"13,31",0,8,8,8,"14,55",0,2012,"15,5","2,8","-4,06",Graduate
1,1,1,9130,1.00,1,3,Lycée terminé,"13,7",1,3,3,3,Lycée,19,3,Lycée,3,4,Professions intermédiaires,1300,5,5,Employés,1000,2300,"13,63",1,0,0,1,0,0,20,0,0,5,8,4,"12,50",0,5,8,4,"12,25",2,2010,"10,8","1,4","1,74",Graduate
1,1,1,9853,1.00,1,3,Lycée terminé,"14,0",1,19,3,3,Lycée,19,3,Lycée,7,6,Ouvriers,900,7,6,Ouvriers,1300,2200,"12,46",1,0,0,1,0,0,18,0,0,7,7,6,"11,67",0,7,8,6,"13,50",0,2013,"16,2","0,3","-0,92",Enrolled
1,1,3,171,1.00,1,3,Lycée terminé,"12,2",1,1,3,3,Lycée,1,3,Lycée,9,6,Ouvriers,1200,8,6,Ouvriers,1200,2400,"12,03",0,0,0,1,0,1,21,0,0,0,0,0,"0,00",0,0,0,0,"0,00",0,2016,"11,1","0,6","2,02",Graduate
1,18,4,9556,1.00,1,3,Lycée terminé,"12,7",1,1,3,3,Lycée,38,2,Collège,4,5,Employés,3000,7,6,Ouvriers,1300,4300,"12,18",1,0,0,1,0,0,20,0,0,7,14,7,"11,44",0,8,9,8,"11,43",0,2011,"12,7","3,7","-1,7",Enrolled
1,1,4,9500,1.00,1,3,Lycée terminé,"14,2",1,19,3,3,Lycée,19,3,Lycée,1,3,Cadres et professions intellectuelles,1200,1,3,Cadres et professions intellectuelles,3000,4200,"12,55",1,0,0,1,0,0,18,0,0,8,12,7,"12,86",0,8,12,7,"12,86",0,2011,"12,7","3,7","-1,7",Graduate
1,1,4,9670,1.00,1,3,Lycée terminé,"12,5",1,1,3,3,Lycée,38,2,Collège,4,5,Employés,1350,7,6,Ouvriers,1300,2650,"11,49",1,0,0,1,0,1,19,0,0,6,8,6,"13,38",0,6,7,6,"12,29",0,2016,"11,1","0,6","2,02",Graduate
1,1,1,9500,1.00,1,3,Lycée terminé,"12,6",1,19,3,3,Lycée,19,3,Lycée,3,4,Professions intermédiaires,900,7,6,Ouvriers,1300,2200,"12,39",0,0,0,1,0,0,19,0,0,7,8,6,"13,30",0,8,9,7,"14,11",0,2016,"11,1","0,6","2,02",Graduate
1,1,1,9238,1.00,1,3,Lycée terminé,"15,1",1,19,3,3,Lycée,38,2,Collège,9,6,Ouvriers,1300,9,6,Ouvriers,900,2200,"15,70",1,0,1,1,0,1,18,0,0,6,8,5,"11,60",0,6,12,4,"11,00",0,2008,"7,6","2,6","0,32",Enrolled
1,17,2,9238,1.00,1,3,Lycée terminé,"11,5",1,19,3,3,Lycée,38,2,Collège,7,6,Ouvriers,1350,8,6,Ouvriers,1200,2550,"11,64",1,0,0,1,0,0,21,0,0,6,9,6,"11,38",0,6,9,6,"13,29",0,2013,"16,2","0,3","-0,92",Graduate
1,1,1,9085,1.00,1,3,Lycée terminé,"13,8",1,19,3,3,Lycée,19,3,Lycée,3,4,Professions intermédiaires,900,3,4,Professions intermédiaires,1350,2250,"13,10",1,0,0,1,0,0,18,0,0,5,9,5,"12,67",0,5,7,4,"13,00",0,2009,"9,4","-0,8","-3,12",Enrolled
1,1,1,9147,1.00,1,3,Lycée terminé,"13,5",1,19,3,3,Lycée,1,3,Lycée,9,6,Ouvriers,3000,9,6,Ouvriers,900,3900,"12,21",1,0,0,1,0,0,20,0,0,5,6,5,"12,00",0,5,6,5,"12,33",0,2013,"16,2","0,3","-0,92",Graduate
1,17,2,9500,1.00,1,3,Lycée terminé,"12,7",1,3,3,3,Lycée,3,4,Licence,1,3,Cadres et professions intellectuelles,1200,10,5,Employés,1200,2400,"11,88",1,0,0,1,1,0,19,0,0,7,9,6,"12,93",0,7,7,6,"13,72",0,2013,"16,2","0,3","-0,92",Enrolled
1,44,1,9003,1.00,39,3,Lycée professionnel et technologique,"15,0",1,4,5,5,Master,5,6,Doctorat,4,5,Employés,2500,2,3,Cadres et professions intellectuelles,2000,4500,"15,00",0,0,0,1,1,0,21,0,0,6,15,5,"11,86",0,6,17,5,"10,57",0,2013,"16,2","0,3","-0,92",Enrolled
1,51,1,9070,1.00,1,3,Lycée terminé,"12,5",1,42,3,3,Lycée,3,4,Licence,125,3,Cadres et professions intellectuelles,1200,125,3,Cadres et professions intellectuelles,2500,3700,"13,00",1,0,0,1,1,0,20,0,2,6,7,6,"12,83",0,6,9,4,"13,40",0,2017,"8,9","1,4","3,51",Graduate
1,1,1,9147,1.00,1,3,Lycée terminé,"14,3",1,1,3,3,Lycée,1,3,Lycée,4,5,Employés,900,6,1,Agriculteurs exploitants,1000,1900,"13,88",0,0,0,0,1,0,18,0,0,5,9,3,"11,33",0,5,8,2,"13,50",0,2017,"8,9","1,4","3,51",Enrolled
1,18,1,8014,0.00,1,3,Lycée terminé,"13,8",1,19,3,3,Lycée,1,3,Lycée,9,6,Ouvriers,1350,5,5,Employés,1000,2350,"13,45",1,0,0,1,0,0,19,0,0,6,6,6,"12,67",0,6,8,6,"14,38",0,2015,"12,4","0,5","1,79",Graduate
1,1,1,9991,0.00,1,3,Lycée terminé,"13,0",1,2,3,3,Lycée,37,2,Collège,3,4,Professions intermédiaires,900,9,6,Ouvriers,900,1800,"13,14",0,0,0,1,1,0,34,0,0,5,6,5,"12,40",0,5,9,5,"13,43",0,2014,"13,9","-0,3","0,79",Graduate
1,39,1,33,1.00,1,3,Lycée terminé,"13,0",1,38,2,2,Collège,37,2,Collège,9,6,Ouvriers,0,6,1,Agriculteurs exploitants,1000,1000,"10,25",0,0,1,0,1,0,37,0,0,7,7,0,"0,00",0,7,7,1,"10,00",0,2017,"8,9","1,4","3,51",Dropout
1,39,1,9119,1.00,10,3,Lycée non terminé,"13,3",1,34,3,3,Lycée,37,2,Collège,0,7,Etudiant,1000,0,7,Etudiant,0,1000,"12,88",1,0,0,1,1,0,43,0,0,5,0,0,"0,00",0,5,0,0,"0,00",0,2008,"7,6","2,6","0,32",Dropout
1,43,1,9147,1.00,1,3,Lycée terminé,"14,0",1,37,2,2,Collège,37,2,Collège,6,1,Agriculteurs exploitants,900,6,1,Agriculteurs exploitants,1000,1900,"12,29",0,0,0,1,0,0,55,0,0,5,10,1,"10,00",0,5,8,2,"12,00",2,2013,"16,2","0,3","-0,92",Dropout
4,39,1,9991,0.00,1,3,Lycée terminé,"12,0",1,19,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,1350,3,4,Professions intermédiaires,1350,2700,"11,39",1,0,0,1,0,0,39,0,0,5,8,5,"11,00",0,5,5,5,"11,60",0,2008,"7,6","2,6","0,32",Graduate
1,44,1,9130,1.00,39,3,Lycée professionnel et technologique,"12,0",6,4,5,5,Master,4,5,Master,3,4,Professions intermédiaires,2000,6,1,Agriculteurs exploitants,1000,3000,"12,00",0,0,1,0,0,0,20,1,2,6,13,3,"11,67",1,6,11,3,"12,00",0,2015,"12,4","0,5","1,79",Dropout
1,1,5,9773,1.00,1,3,Lycée terminé,"12,6",1,3,3,3,Lycée,3,4,Licence,2,3,Cadres et professions intellectuelles,2000,2,3,Cadres et professions intellectuelles,2000,4000,"12,11",0,0,1,1,0,0,18,0,0,6,6,4,"12,75",0,5,5,0,"0,00",0,2011,"12,7","3,7","-1,7",Dropout
1,1,2,9147,1.00,1,3,Lycée terminé,"13,3",1,3,3,3,Lycée,19,3,Lycée,2,3,Cadres et professions intellectuelles,2000,7,6,Ouvriers,1300,3300,"12,04",1,0,0,1,0,0,22,0,0,5,5,5,"14,80",0,5,5,5,"15,80",0,2017,"8,9","1,4","3,51",Graduate
1,1,6,9500,1.00,1,3,Lycée terminé,"10,3",1,1,3,3,Lycée,3,4,Licence,2,3,Cadres et professions intellectuelles,1000,2,3,Cadres et professions intellectuelles,2000,3000,"10,06",1,1,0,1,0,0,22,0,0,7,9,5,"13,93",0,8,9,7,"14,34",0,2016,"11,1","0,6","2,02",Graduate
1,17,1,9773,1.00,1,3,Lycée terminé,"12,0",1,1,3,3,Lycée,38,2,Collège,5,5,Employés,900,5,5,Employés,1000,1900,"12,14",0,0,0,0,0,0,20,0,0,6,7,4,"13,00",0,6,7,5,"13,80",0,2015,"12,4","0,5","1,79",Dropout
1,#VALUE!,1,9991,0.00,1,3,Lycée terminé,"13,3",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,1200,9,6,Ouvriers,900,2100,"10,97",0,0,0,1,0,0,29,0,0,5,0,0,"0,00",0,5,0,0,"0,00",0,2013,"16,2","0,3","-0,92",Dropout
1,17,1,9991,0.00,1,3,Lycée terminé,"15,4",1,38,2,2,Collège,38,2,Collège,4,5,Employés,900,5,5,Employés,1000,1900,"13,41",0,0,0,1,0,0,24,0,0,5,9,2,"11,50",0,5,11,3,"14,33",1,2008,"7,6","2,6","0,32",Enrolled
1,17,2,9238,1.00,1,3,Lycée terminé,"13,0",1,19,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,1300,9,6,Ouvriers,900,2200,"12,76",1,0,0,1,0,0,18,0,0,6,6,6,"11,67",0,6,8,5,"13,20",0,2016,"11,1","0,6","2,02",Graduate
1,17,6,9500,1.00,1,3,Lycée terminé,"13,2",1,37,2,2,Collège,19,3,Lycée,7,6,Ouvriers,900,7,6,Ouvriers,1300,2200,"13,24",1,0,0,1,0,1,22,0,0,7,8,6,"13,52",0,8,9,7,"13,77",0,2016,"11,1","0,6","2,02",Graduate
1,44,1,8014,0.00,39,3,Lycée professionnel et technologique,"13,0",1,1,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"13,34",0,0,0,1,0,1,21,0,3,6,6,6,"11,50",2,6,7,6,"13,29",0,2015,"12,4","0,5","1,79",Graduate
1,1,1,9238,1.00,1,3,Lycée terminé,"13,9",1,37,2,2,Collège,38,2,Collège,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"12,61",0,0,0,1,0,1,19,0,0,6,7,5,"12,33",0,6,7,6,"12,83",0,2011,"12,7","3,7","-1,7",Graduate
1,39,1,9254,1.00,1,3,Lycée terminé,"13,0",1,19,3,3,Lycée,38,2,Collège,9,6,Ouvriers,1000,7,6,Ouvriers,1300,2300,"11,35",0,0,0,1,0,1,24,0,0,6,6,6,"13,67",0,6,6,6,"14,17",0,2015,"12,4","0,5","1,79",Graduate
1,1,1,9500,1.00,1,3,Lycée terminé,"13,9",1,37,2,2,Collège,38,2,Collège,6,1,Agriculteurs exploitants,1300,6,1,Agriculteurs exploitants,1000,2300,"12,13",1,0,0,1,0,1,19,0,0,8,10,6,"11,83",0,8,10,6,"11,83",0,2009,"9,4","-0,8","-3,12",Enrolled
1,1,1,9773,1.00,1,3,Lycée terminé,"12,7",1,1,3,3,Lycée,19,3,Lycée,7,6,Ouvriers,1000,7,6,Ouvriers,1300,2300,"12,18",1,0,0,1,0,1,20,0,0,6,11,4,"14,00",0,6,12,3,"11,00",0,2009,"9,4","-0,8","-3,12",Enrolled
1,1,3,9130,1.00,1,3,Lycée terminé,"16,7",1,37,2,2,Collège,37,2,Collège,90,5,Employés,900,90,5,Employés,1000,1900,"15,93",0,0,0,1,0,0,19,0,0,5,7,5,"14,71",0,5,5,5,"15,80",0,2008,"7,6","2,6","0,32",Graduate
1,39,1,9991,0.00,1,3,Lycée terminé,"13,0",1,38,2,2,Collège,38,2,Collège,9,6,Ouvriers,1000,9,6,Ouvriers,900,1900,"12,00",0,0,0,1,0,0,27,0,0,5,12,5,"10,60",0,5,10,5,"11,00",0,2009,"9,4","-0,8","-3,12",Dropout
1,1,1,9500,1.00,1,3,Lycée terminé,"13,0",1,1,3,3,Lycée,19,3,Lycée,5,5,Employés,1200,5,5,Employés,1000,2200,"12,91",1,0,0,1,0,0,18,0,0,7,9,7,"13,04",0,8,10,8,"13,60",0,2012,"15,5","2,8","-4,06",Graduate
2,7,1,9254,1.00,3,4,Licence,"13,0",1,1,3,3,Lycée,3,4,Licence,4,5,Employés,2000,3,4,Professions intermédiaires,1350,3350,"13,00",0,0,0,1,0,0,39,0,0,6,10,0,"0,00",0,6,6,0,"0,00",0,2015,"12,4","0,5","1,79",Dropout
1,39,1,9130,1.00,40,4,Licence,"12,9",1,3,3,3,Lycée,3,4,Licence,2,3,Cadres et professions intellectuelles,1300,2,3,Cadres et professions intellectuelles,2000,3300,"15,53",1,0,0,1,0,0,27,0,0,6,9,5,"13,00",5,11,13,10,"12,90",0,2015,"12,4","0,5","1,79",Dropout
1,17,1,9500,1.00,1,3,Lycée terminé,"14,1",1,38,2,2,Collège,38,2,Collège,7,6,Ouvriers,1200,10,5,Employés,1200,2400,"13,98",1,0,0,1,0,0,18,0,0,8,8,8,"14,94",0,8,8,8,"14,94",0,2009,"9,4","-0,8","-3,12",Graduate
1,1,3,171,1.00,1,3,Lycée terminé,"12,5",1,38,2,2,Collège,37,2,Collège,4,5,Employés,900,9,6,Ouvriers,900,1800,"11,52",1,0,0,1,0,0,18,0,0,0,0,0,"0,00",0,0,0,0,"0,00",0,2008,"7,6","2,6","0,32",Enrolled
1,1,2,9500,1.00,1,3,Lycée terminé,"12,5",1,19,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"11,49",0,0,0,1,0,0,18,0,0,7,8,6,"13,13",0,8,12,7,"12,22",0,2013,"16,2","0,3","-0,92",Graduate
1,44,1,9238,1.00,39,3,Lycée professionnel et technologique,"13,0",1,19,3,3,Lycée,1,3,Lycée,9,6,Ouvriers,1200,9,6,Ouvriers,900,2100,"13,19",0,0,0,1,0,1,21,0,3,6,7,6,"12,00",2,6,7,6,"12,00",0,2014,"13,9","-0,3","0,79",Graduate
1,17,3,171,1.00,1,3,Lycée terminé,"13,3",1,1,3,3,Lycée,37,2,Collège,4,5,Employés,1350,7,6,Ouvriers,1300,2650,"12,60",1,0,0,1,1,1,19,0,0,0,0,0,"0,00",0,0,0,0,"0,00",0,2010,"10,8","1,4","1,74",Enrolled
1,17,1,9070,1.00,1,3,Lycée terminé,"12,7",1,1,3,3,Lycée,1,3,Lycée,3,4,Professions intermédiaires,1350,4,5,Employés,1200,2550,"13,02",1,0,0,1,1,0,19,0,0,6,6,5,"11,40",0,6,8,1,"10,00",0,2010,"10,8","1,4","1,74",Enrolled
1,43,1,9070,1.00,1,3,Lycée terminé,"11,6",1,1,3,3,Lycée,1,3,Lycée,3,4,Professions intermédiaires,1000,3,4,Professions intermédiaires,1350,2350,"12,09",0,0,0,1,1,0,24,0,0,6,6,0,"0,00",0,6,6,0,"0,00",0,2011,"12,7","3,7","-1,7",Enrolled
4,42,1,9500,1.00,19,3,Lycée terminé,"13,3",1,1,3,3,Lycée,1,3,Lycée,5,5,Employés,1000,5,5,Employés,1000,2000,"12,60",1,0,0,1,1,0,29,0,2,7,10,5,"11,90",1,8,10,5,"11,00",0,2014,"13,9","-0,3","0,79",Dropout
1,1,3,171,1.00,1,3,Lycée terminé,"13,9",1,19,3,3,Lycée,19,3,Lycée,5,5,Employés,900,3,4,Professions intermédiaires,1350,2250,"12,82",1,0,0,1,1,1,19,0,0,0,0,0,"0,00",0,0,0,0,"0,00",0,2010,"10,8","1,4","1,74",Graduate
1,44,1,9003,1.00,39,3,Lycée professionnel et technologique,"13,0",1,19,3,3,Lycée,37,2,Collège,9,6,Ouvriers,1300,9,6,Ouvriers,900,2200,"13,00",1,0,0,1,1,0,23,0,0,6,8,6,"12,57",0,6,7,6,"12,43",0,2017,"8,9","1,4","3,51",Graduate
1,1,3,9147,1.00,1,3,Lycée terminé,"12,5",1,1,3,3,Lycée,38,2,Collège,7,6,Ouvriers,1300,7,6,Ouvriers,1300,2600,"12,01",0,0,1,1,1,0,19,0,0,5,8,5,"11,20",0,5,10,4,"10,75",3,2013,"16,2","0,3","-0,92",Dropout
1,39,1,9254,1.00,1,3,Lycée terminé,"16,0",1,19,3,3,Lycée,37,2,Collège,7,6,Ouvriers,1000,10,5,Employés,1200,2200,"10,00",0,0,0,1,1,0,26,0,0,6,7,6,"12,00",0,6,8,5,"10,80",0,2011,"12,7","3,7","-1,7",Enrolled
1,17,1,9147,1.00,1,3,Lycée terminé,"14,8",1,38,2,2,Collège,37,2,Collège,5,5,Employés,1200,5,5,Employés,1000,2200,"13,40",0,0,0,1,1,0,18,0,0,5,9,0,"0,00",0,5,5,0,"0,00",0,2008,"7,6","2,6","0,32",Enrolled
1,17,1,9500,1.00,1,3,Lycée terminé,"15,0",1,37,2,2,Collège,19,3,Lycée,8,6,Ouvriers,1000,4,5,Employés,1200,2200,"13,08",0,0,0,1,1,0,24,0,0,7,8,7,"11,98",0,8,8,8,"13,75",0,2014,"13,9","-0,3","0,79",Graduate
1,1,1,171,1.00,1,3,Lycée terminé,"14,1",1,19,3,3,Lycée,19,3,Lycée,5,5,Employés,1000,10,5,Employés,1200,2200,"13,58",1,0,0,1,1,0,19,0,0,0,0,0,"0,00",0,0,0,0,"0,00",0,2012,"15,5","2,8","-4,06",Dropout
1,17,4,9254,1.00,1,3,Lycée terminé,"11,8",1,38,2,2,Collège,37,2,Collège,5,5,Employés,900,7,6,Ouvriers,1300,2200,"11,17",1,0,0,1,1,0,18,0,0,6,12,3,"11,67",0,6,12,1,"12,00",0,2015,"12,4","0,5","1,79",Dropout
1,1,2,9773,1.00,1,3,Lycée terminé,"14,2",1,38,2,2,Collège,38,2,Collège,9,6,Ouvriers,1200,9,6,Ouvriers,900,2100,"13,29",1,0,0,1,1,0,18,0,0,6,8,6,"12,33",0,6,11,3,"12,33",0,2010,"10,8","1,4","1,74",Graduate
1,17,3,9147,1.00,1,3,Lycée terminé,"12,0",1,19,3,3,Lycée,19,3,Lycée,4,5,Employés,1300,7,6,Ouvriers,1300,2600,"11,55",1,0,1,1,1,0,18,0,0,5,8,3,"10,33",0,5,11,3,"10,86",0,2010,"10,8","1,4","1,74",Dropout
1,18,4,9254,1.00,1,3,Lycée terminé,"10,6",1,19,3,3,Lycée,37,2,Collège,7,6,Ouvriers,900,7,6,Ouvriers,1300,2200,"10,60",1,0,0,1,1,1,21,0,0,6,8,4,"10,50",0,6,11,1,"11,00",0,2009,"9,4","-0,8","-3,12",Dropout
1,17,4,9773,1.00,1,3,Lycée terminé,"12,1",1,1,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,900,8,6,Ouvriers,1200,2100,"12,03",1,0,1,1,1,1,19,0,0,6,6,6,"13,67",0,6,6,6,"13,33",0,2017,"8,9","1,4","3,51",Graduate
1,17,4,9500,1.00,1,3,Lycée terminé,"15,0",1,38,2,2,Collège,37,2,Collège,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"13,08",0,0,0,1,1,1,22,0,0,7,7,7,"14,84",0,8,9,8,"15,06",0,2013,"16,2","0,3","-0,92",Graduate
2,39,1,8014,0.00,1,3,Lycée terminé,"12,0",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,900,6,1,Agriculteurs exploitants,1000,1900,"11,70",0,0,0,1,1,0,33,0,0,6,8,6,"12,00",0,6,6,6,"11,67",0,2010,"10,8","1,4","1,74",Graduate
1,1,6,9853,1.00,1,3,Lycée terminé,"11,4",1,19,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,2000,9,6,Ouvriers,900,2900,"11,02",1,0,0,1,1,0,20,0,0,6,8,5,"12,20",0,6,7,5,"12,20",0,2010,"10,8","1,4","1,74",Dropout
1,39,1,9991,0.00,2,4,Bachelor,"14,0",1,3,3,3,Lycée,3,4,Licence,2,3,Cadres et professions intellectuelles,1200,2,3,Cadres et professions intellectuelles,2000,3200,"15,57",1,0,0,1,1,0,35,0,0,1,1,0,"0,00",0,5,0,0,"0,00",0,2010,"10,8","1,4","1,74",Dropout
1,39,1,9003,1.00,4,5,Master,"16,0",1,3,3,3,Lycée,3,4,Licence,4,5,Employés,1200,2,3,Cadres et professions intellectuelles,2000,3200,"18,04",0,0,1,1,1,0,24,0,6,12,17,6,"12,17",7,12,14,10,"13,30",0,2015,"12,4","0,5","1,79",Dropout
1,17,1,9254,1.00,1,3,Lycée terminé,"12,0",1,19,3,3,Lycée,19,3,Lycée,4,5,Employés,900,4,5,Employés,1200,2100,"12,55",0,0,0,1,1,0,18,0,0,5,6,5,"12,00",0,5,8,3,"11,33",0,2011,"12,7","3,7","-1,7",Enrolled
2,39,1,8014,0.00,1,3,Lycée terminé,"13,0",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,900,6,1,Agriculteurs exploitants,1000,1900,"11,00",1,0,0,1,0,0,33,0,0,6,7,6,"11,00",0,6,11,5,"11,00",0,2009,"9,4","-0,8","-3,12",Graduate
